Image,Dataset,Sigma,Best_Method,Worst_Method
test004.png,BSD68,25,guided,tv
test005.png,BSD68,25,guided,tv
test006.png,BSD68,25,guided,tv
test007.png,BSD68,25,bilateral,tv
test008.png,BSD68,25,guided,tv
test009.png,BSD68,25,guided,tv
test010.png,BSD68,25,guided,tv
test011.png,BSD68,25,lgss,tv
test012.png,BSD68,25,guided,tv
test013.png,BSD68,25,guided,tv
test014.png,BSD68,25,lgss,tv
test015.png,BSD68,25,guided,tv
test016.png,BSD68,25,bilateral,tv
test017.png,BSD68,25,guided,tv
test018.png,BSD68,25,lgss,tv
test019.png,BSD68,25,lgss,tv
test020.png,BSD68,25,bilateral,tv
test021.png,BSD68,25,bilateral,tv
test022.png,BSD68,25,bilateral,tv
test023.png,BSD68,25,lgss,tv
test024.png,BSD68,25,bilateral,tv
test025.png,BSD68,25,guided,tv
test026.png,BSD68,25,guided,tv
test027.png,BSD68,25,guided,tv
test028.png,BSD68,25,bilateral,tv
test029.png,BSD68,25,bilateral,tv
test030.png,BSD68,25,guided,tv
test031.png,BSD68,25,guided,tv
test032.png,BSD68,25,bilateral,tv
test033.png,BSD68,25,lgss,tv
test034.png,BSD68,25,lgss,tv
test035.png,BSD68,25,bilateral,tv
test036.png,BSD68,25,l0,tv
test037.png,BSD68,25,guided,tv
test038.png,BSD68,25,guided,tv
test039.png,BSD68,25,lgss,tv
test040.png,BSD68,25,lgss,tv
test041.png,BSD68,25,bilateral,tv
test042.png,BSD68,25,lgss,tv
test043.png,BSD68,25,lgss,tv
test044.png,BSD68,25,guided,tv
test045.png,BSD68,25,lgss,tv
test046.png,BSD68,25,bilateral,tv
test047.png,BSD68,25,guided,tv
test048.png,BSD68,25,lgss,tv
test049.png,BSD68,25,lgss,tv
test050.png,BSD68,25,bilateral,tv
test051.png,BSD68,25,bilateral,tv
test052.png,BSD68,25,guided,tv
test053.png,BSD68,25,guided,tv
test054.png,BSD68,25,lgss,tv
test055.png,BSD68,25,bilateral,tv
test056.png,BSD68,25,bilateral,tv
test057.png,BSD68,25,guided,tv
test058.png,BSD68,25,lgss,tv
test059.png,BSD68,25,lgss,tv
test060.png,BSD68,25,lgss,tv
test061.png,BSD68,25,lgss,tv
test062.png,BSD68,25,bilateral,tv
test063.png,BSD68,25,bilateral,tv
test064.png,BSD68,25,guided,tv
test065.png,BSD68,25,bilateral,tv
test066.png,BSD68,25,lgss,tv
test067.png,BSD68,25,bilateral,tv
test068.png,BSD68,25,bilateral,tv
test001.png,BSD68,50,original,tv
test002.png,BSD68,50,original,tv
test003.png,BSD68,50,original,tv
test004.png,BSD68,50,original,tv
test005.png,BSD68,50,original,tv
