Method,Mean_Runtime,Std_Runtime
guided,0.0254286872395833,0.0198775813658128
bilateral,0.899472443397672,0.505787053429262
tv,1.20379169347427,0.444777198998782
l0,2.83474458601409,1.49368382869947
lgss,3.69575372619485,1.31116969974599
original,5.69852570958946,2.95656957144403
adaptive,6.16870006515012,3.18083347269119
