Dataset,Sigma,Mean_Gain_dB
BSD68,10,3.0591332630987
BSD68,20,4.566347954587
BSD68,25,3.2101935780753
BSD68,50,-2.4318750703589
Kodak24,10,2.8567139478298
Kodak24,20,4.73116449528
Kodak24,25,2.9674876229183
Kodak24,50,-2.4938054941007
Set12,10,3.4443132373259
Set12,20,5.3583453582971
Set12,25,3.6301992436691
Set12,50,-2.5107274799099
custom,10,2.9868501814116
custom,20,4.5335637979029
custom,25,2.6349857552351
custom,50,-2.5045989243677
