Dataset,Sigma,Mean_Gain_dB
BSD68,10,-2.9034043515195
BSD68,20,-1.0146698037817
BSD68,25,-0.788112871166199
BSD68,50,-0.9242502028024
Kodak24,10,-3.3130018969646
Kodak24,20,-1.2952248110605
Kodak24,25,-1.2204025797133
Kodak24,50,-0.9463628305689
Set12,10,-2.6877163841718
Set12,20,-0.644788152284001
Set12,25,-0.943646348756602
Set12,50,-1.0904183645173
custom,10,-1.2360634234698
custom,20,-0.171581514512898
custom,25,-0.867715104444802
custom,50,-1.1683570682362
