dataset,sigma,method,mean_psnr,std_psnr,mean_ssim,std_ssim,mean_runtime,std_runtime,num_samples
BSD68,25,l0,21.8066239829031,1.35759367901358,0.591645015061575,0.108949917080839,3.09315407941176,1.07409435234779,68
BSD68,25,lgss,24.0195656791824,1.31327798183544,0.695202542230882,0.0693567632016673,4.22540874264706,0.919345353956074,68
BSD68,25,original,20.0212592299409,1.35632049047836,0.531662411064383,0.125011591888978,6.00231704558824,2.07292570702325,68
BSD68,25,tv,16.3692823976471,0.343412589728793,0.245111720888235,0.10447011713817,1.07412536470588,0.144691652437232,68
BSD68,50,adaptive,15.0304499739108,0.506003805602817,0.208787329210691,0.0892325615868588,6.81122375588235,2.9464983722699,68
BSD68,50,bilateral,16.3826918701812,0.43713614532349,0.231633947538565,0.0918600243092144,0.747820660294118,0.248549398711413,68
BSD68,50,guided,16.7846263229533,0.486608996294079,0.23955615358391,0.0918030009475116,0.0155789485294118,0.0118203925041088,68
BSD68,50,l0,17.2506777529121,0.607225602945128,0.282696217616273,0.0880088861493057,3.04326229264706,0.777814786198047,68
BSD68,50,lgss,15.9547001767132,0.805642784598022,0.283478862898529,0.10929622413163,4.1255257,0.82614948619663,68
BSD68,50,original,17.4623250442697,0.885405304708914,0.343948112382972,0.109624627624693,6.03326567205882,2.2716076721294,68
BSD68,50,tv,13.1251761634176,0.3805526181039,0.150713872738235,0.073065624037185,1.06576969264706,0.137842845637962,68
Kodak24,10,adaptive,22.8345877241396,1.32327817818832,0.65083043340295,0.0890083032643693,10.4948231666667,5.91374485352525,24
Kodak24,10,bilateral,31.4829959568766,1.80699028368538,0.855887284734051,0.03027983315482,1.61375145416667,0.911867429681865,24
Kodak24,10,guided,30.2609554250787,1.81802489907945,0.837238297014562,0.0316030019127847,0.0582050125,0.12096396148321,24
Kodak24,10,l0,21.9850073072437,1.34974701509061,0.612149365761508,0.111489185579301,5.26939207083333,3.45004358712876,24
Kodak24,10,lgss,26.1475896211042,1.21456788424068,0.735647489141667,0.0662017251240192,6.09424245416667,2.27178555987782,24
Kodak24,10,original,19.9778737763098,1.3098424686757,0.555259830229294,0.126116103868178,9.85342657916667,6.48625237794041,24
Kodak24,10,tv,17.4050798227292,0.333537500815906,0.23670136975,0.102845163747061,1.81602010416667,0.273227735836367,24
Kodak24,20,adaptive,25.0273793108353,1.01627757361472,0.696579449631061,0.0621700706895707,11.3984736875,7.13823059439722,24
Kodak24,20,bilateral,27.0692187524912,1.03363602507888,0.639821456253661,0.0634519597136328,1.78198307916667,1.15595169983399,24
Kodak24,20,guided,26.8139752186115,1.18437838157737,0.634083917533763,0.0582322769127569,0.0702167833333333,0.190215706984442,24
Kodak24,20,l0,22.2864102467611,1.26926946030738,0.625008706441174,0.106054319292871,4.96121364166667,3.21852219728815,24
Kodak24,20,lgss,26.3226041218958,1.42077263588441,0.754623911633333,0.0593087234253241,5.51584840416667,1.11730214258046,24
