dataset,image,sigma,method,mean_psnr,std_psnr,mean_ssim,std_ssim,num_samples
BSD68,test003.png,25,lgss,24.3318608889,0,0.7726144724,0,1
BSD68,test003.png,25,original,21.0317926603096,0,0.675037949723429,0,1
BSD68,test003.png,25,tv,16.1983710104,0,0.2024962699,0,1
BSD68,test003.png,50,adaptive,14.8052714556601,0,0.16942013954257,0,1
BSD68,test003.png,50,bilateral,16.2338259979089,0,0.19029503025055,0,1
BSD68,test003.png,50,guided,16.6396140731652,0,0.195568453902126,0,1
BSD68,test003.png,50,l0,17.2639393713966,0,0.234015269137964,0,1
BSD68,test003.png,50,lgss,16.1641831531,0,0.2330788325,0,1
BSD68,test003.png,50,original,17.3510049905912,0,0.275631570896099,0,1
BSD68,test003.png,50,tv,12.9766532098,0,0.1287856415,0,1
BSD68,test004.png,10,adaptive,20.5648670307727,0,0.559570654326139,0,1
BSD68,test004.png,10,bilateral,31.5850736321002,0,0.86219090238754,0,1
BSD68,test004.png,10,guided,30.2399841214648,0,0.835688412930364,0,1
BSD68,test004.png,10,l0,20.3791830701584,0,0.543181714050813,0,1
BSD68,test004.png,10,lgss,24.134873517,0,0.660985858,0,1
BSD68,test004.png,10,original,18.9863985605043,0,0.508526376867058,0,1
BSD68,test004.png,10,tv,17.1120115618,0,0.1886210723,0,1
BSD68,test004.png,20,adaptive,23.4158407469914,0,0.620108944655574,0,1
BSD68,test004.png,20,bilateral,27.1539149922168,0,0.621497095164787,0,1
BSD68,test004.png,20,guided,27.0213306215,0,0.614530648597835,0,1
BSD68,test004.png,20,l0,20.8774556861788,0,0.554761175557084,0,1
BSD68,test004.png,20,lgss,25.3129123105,0,0.7140341791,0,1
BSD68,test004.png,20,original,18.9492958540373,0,0.513461376124084,0,1
BSD68,test004.png,20,tv,16.7139240999,0,0.1756225864,0,1
BSD68,test004.png,25,adaptive,23.7051333990753,0,0.509443133131943,0,1
BSD68,test004.png,25,bilateral,24.4773730613663,0,0.471817192879676,0,1
BSD68,test004.png,25,guided,24.6344391606808,0,0.472872977398291,0,1
BSD68,test004.png,25,l0,21.3460560921978,0,0.563544637684267,0,1
BSD68,test004.png,25,lgss,24.2743447778,0,0.6506796933,0,1
BSD68,test004.png,25,original,19.2106431566174,0,0.520665125082353,0,1
BSD68,test004.png,25,tv,16.0978468199,0,0.1579692337,0,1
BSD68,test004.png,50,adaptive,14.7623083801532,0,0.127257891316163,0,1
BSD68,test004.png,50,bilateral,16.2615238392967,0,0.153490167682811,0,1
BSD68,test004.png,50,guided,16.6912134561673,0,0.159934760464629,0,1
BSD68,test004.png,50,l0,17.356404691635,0,0.200627469414658,0,1
BSD68,test004.png,50,lgss,15.5225276686,0,0.1658632857,0,1
BSD68,test004.png,50,original,17.5474156999167,0,0.254597904585575,0,1
BSD68,test004.png,50,tv,12.9337047415,0,0.0873642161,0,1
BSD68,test005.png,10,adaptive,20.5401037997329,0,0.544733093550855,0,1
BSD68,test005.png,10,bilateral,29.4453225986473,0,0.858086307390419,0,1
BSD68,test005.png,10,guided,28.4478069770547,0,0.840739760031387,0,1
BSD68,test005.png,10,l0,19.7421214074495,0,0.480503196798079,0,1
BSD68,test005.png,10,lgss,24.2464454395,0,0.6734281191,0,1
BSD68,test005.png,10,original,18.0611659411461,0,0.415601745363446,0,1
BSD68,test005.png,10,tv,17.9298386897,0,0.3244780366,0,1
BSD68,test005.png,20,adaptive,22.7372421683291,0,0.651692307281526,0,1
BSD68,test005.png,20,bilateral,26.1009312923067,0,0.735771400725968,0,1
BSD68,test005.png,20,guided,25.8313057546371,0,0.731394864031373,0,1
BSD68,test005.png,20,l0,19.9282232003166,0,0.496311112612014,0,1
BSD68,test005.png,20,lgss,24.1198023339,0,0.7083669718,0,1
BSD68,test005.png,20,original,18.1119811319825,0,0.423956956713847,0,1
BSD68,test005.png,20,tv,17.2576184658,0,0.2963203042,0,1
BSD68,test005.png,25,adaptive,22.5114037852639,0,0.636376336816597,0,1
BSD68,test005.png,25,bilateral,24.0562788571196,0,0.629456582254749,0,1
BSD68,test005.png,25,guided,24.0594816813373,0,0.63716617434974,0,1
BSD68,test005.png,25,l0,20.1546494650719,0,0.50713049420051,0,1
BSD68,test005.png,25,lgss,23.003192871,0,0.6761408257,0,1
BSD68,test005.png,25,original,18.1904824990076,0,0.433593066032698,0,1
BSD68,test005.png,25,tv,16.6339397959,0,0.2710326777,0,1
BSD68,test005.png,50,adaptive,15.4423529585082,0,0.2484823334443,0,1
BSD68,test005.png,50,bilateral,16.6825578900234,0,0.262581275389778,0,1
BSD68,test005.png,50,guided,17.1098700050559,0,0.280087986271524,0,1
BSD68,test005.png,50,l0,17.1889274775186,0,0.340917714012788,0,1
BSD68,test005.png,50,lgss,16.0479198292,0,0.3779577245,0,1
BSD68,test005.png,50,original,17.418792689808,0,0.427036190241778,0,1
BSD68,test005.png,50,tv,13.3766629807,0,0.1602267212,0,1
BSD68,test006.png,10,adaptive,20.2064782071792,0,0.732704095913323,0,1
BSD68,test006.png,10,bilateral,33.9832768229983,0,0.90154377404242,0,1
BSD68,test006.png,10,guided,32.8673945099779,0,0.891693381006328,0,1
BSD68,test006.png,10,l0,21.3516734005944,0,0.735146140666165,0,1
BSD68,test006.png,10,lgss,22.9363254083,0,0.7811801113,0,1
BSD68,test006.png,10,original,18.9216777329552,0,0.707804283313428,0,1
BSD68,test006.png,10,tv,17.5648376414,0,0.1377395111,0,1
BSD68,test006.png,20,adaptive,21.7772923216764,0,0.74929363090145,0,1
BSD68,test006.png,20,bilateral,28.5954304864552,0,0.634096482979033,0,1
BSD68,test006.png,20,guided,28.4823140897442,0,0.644262943468599,0,1
BSD68,test006.png,20,l0,21.4034547974219,0,0.735719432748669,0,1
BSD68,test006.png,20,lgss,23.2958931597,0,0.801904928,0,1
BSD68,test006.png,20,original,18.472447122695,0,0.708673052601252,0,1
BSD68,test006.png,20,tv,17.1125568127,0,0.1277812328,0,1
BSD68,test006.png,25,adaptive,23.2378863717653,0,0.589688299353748,0,1
BSD68,test006.png,25,bilateral,25.5930129198189,0,0.465357424568359,0,1
BSD68,test006.png,25,guided,25.7589909137692,0,0.485341993050111,0,1
BSD68,test006.png,25,l0,21.4879068195114,0,0.734178890568803,0,1
BSD68,test006.png,25,lgss,23.4058302795,0,0.7594520777,0,1
BSD68,test006.png,25,original,18.8306947810035,0,0.71215425404994,0,1
BSD68,test006.png,25,tv,16.5313593386,0,0.1154488963,0,1
BSD68,test006.png,50,adaptive,15.3767050959124,0,0.108435598849999,0,1
BSD68,test006.png,50,bilateral,16.850389599139,0,0.123348957492933,0,1
BSD68,test006.png,50,guided,17.3411404295424,0,0.136811934580414,0,1
BSD68,test006.png,50,l0,17.7365575399929,0,0.251804371034822,0,1
BSD68,test006.png,50,lgss,16.7262280323,0,0.2923709822,0,1
BSD68,test006.png,50,original,17.9431438421774,0,0.383307465705013,0,1
BSD68,test006.png,50,tv,13.3545071236,0,0.0639322921,0,1
BSD68,test007.png,10,adaptive,21.1181610199759,0,0.493635036857866,0,1
BSD68,test007.png,10,bilateral,29.6785049649454,0,0.844900213273166,0,1
BSD68,test007.png,10,guided,28.2371845782677,0,0.815462380857781,0,1
BSD68,test007.png,10,l0,20.4367996192084,0,0.443894915401764,0,1
BSD68,test007.png,10,lgss,24.7144776129,0,0.6571878894,0,1
BSD68,test007.png,10,original,19.3155892532932,0,0.392967838282321,0,1
BSD68,test007.png,10,tv,17.3606526488,0,0.3190399121,0,1
BSD68,test007.png,20,adaptive,23.7289193148378,0,0.628757722898168,0,1
BSD68,test007.png,20,bilateral,25.9075819672446,0,0.690468116168273,0,1
BSD68,test007.png,20,guided,25.5283540823541,0,0.674304443105331,0,1
BSD68,test007.png,20,l0,20.9159821066451,0,0.475004811590037,0,1
BSD68,test007.png,20,lgss,24.9233899702,0,0.6877867499,0,1
BSD68,test007.png,20,original,19.5399360657987,0,0.405305035845737,0,1
BSD68,test007.png,20,tv,16.874002428,0,0.2977151815,0,1
BSD68,test007.png,25,adaptive,22.866386621343,0,0.579048067745387,0,1
BSD68,test007.png,25,bilateral,23.6698444509349,0,0.578297625455391,0,1
BSD68,test007.png,25,guided,23.6288594685652,0,0.571538696923501,0,1
BSD68,test007.png,25,l0,21.2215583799527,0,0.495209800108743,0,1
BSD68,test007.png,25,lgss,23.5289335222,0,0.6442896994,0,1
BSD68,test007.png,25,original,19.8190533505057,0,0.421471323966483,0,1
BSD68,test007.png,25,tv,16.2516411759,0,0.2733194303,0,1
BSD68,test007.png,50,adaptive,14.9419887889996,0,0.229846606295582,0,1
BSD68,test007.png,50,bilateral,16.2847105895649,0,0.259480666426018,0,1
BSD68,test007.png,50,guided,16.7058535540212,0,0.266701237881339,0,1
BSD68,test007.png,50,l0,17.3106036815716,0,0.300208138307108,0,1
BSD68,test007.png,50,lgss,15.6955677957,0,0.2676448768,0,1
BSD68,test007.png,50,original,17.6330417945869,0,0.351862739246761,0,1
BSD68,test007.png,50,tv,13.1331935068,0,0.1676522039,0,1
BSD68,test008.png,10,adaptive,22.4347696293122,0,0.517987552889994,0,1
BSD68,test008.png,10,bilateral,28.629643474501,0,0.824410129969993,0,1
BSD68,test008.png,10,guided,27.7050148635259,0,0.804859853172175,0,1
BSD68,test008.png,10,l0,20.0589311672407,0,0.415910428639189,0,1
BSD68,test008.png,10,lgss,25.0207678678,0,0.6387093431,0,1
BSD68,test008.png,10,original,19.5929219764869,0,0.375216441177762,0,1
BSD68,test008.png,10,tv,17.7318486562,0,0.3897588246,0,1
BSD68,test008.png,20,adaptive,23.6463931897715,0,0.621332540331455,0,1
BSD68,test008.png,20,bilateral,25.411035018509,0,0.709240623719518,0,1
BSD68,test008.png,20,guided,25.1512189853586,0,0.699779611186126,0,1
BSD68,test008.png,20,l0,20.4087876411623,0,0.434089250404176,0,1
BSD68,test008.png,20,lgss,24.2887949945,0,0.6703287035,0,1
BSD68,test008.png,20,original,19.9390444806917,0,0.397051738351325,0,1
BSD68,test008.png,20,tv,17.1259941921,0,0.3605690049,0,1
BSD68,test008.png,25,adaptive,22.3527131516233,0,0.598210420910036,0,1
BSD68,test008.png,25,bilateral,23.3939310723756,0,0.615197996342036,0,1
BSD68,test008.png,25,guided,23.4059870881116,0,0.612922591542884,0,1
BSD68,test008.png,25,l0,20.5576536410772,0,0.449001184361247,0,1
BSD68,test008.png,25,lgss,22.7974173701,0,0.6346344647,0,1
BSD68,test008.png,25,original,20.2892202834978,0,0.41524107725787,0,1
BSD68,test008.png,25,tv,16.4789232448,0,0.3330988012,0,1
BSD68,test008.png,50,adaptive,15.135085780819,0,0.280450609445712,0,1
BSD68,test008.png,50,bilateral,16.4080337112243,0,0.309012985005103,0,1
BSD68,test008.png,50,guided,16.8707923590256,0,0.318186988529928,0,1
BSD68,test008.png,50,l0,17.3044202804407,0,0.332532988974122,0,1
BSD68,test008.png,50,lgss,15.8432331999,0,0.3250360317,0,1
BSD68,test008.png,50,original,17.7007994135899,0,0.389965692881201,0,1
BSD68,test008.png,50,tv,13.3693272064,0,0.2125336567,0,1
BSD68,test009.png,10,adaptive,20.8758638770081,0,0.544982324247997,0,1
BSD68,test009.png,10,bilateral,30.4135397789045,0,0.859014483876406,0,1
BSD68,test009.png,10,guided,29.1891938846085,0,0.837089699903691,0,1
BSD68,test009.png,10,l0,20.1738534548867,0,0.505089010346516,0,1
BSD68,test009.png,10,lgss,24.2822310323,0,0.6655788032,0,1
BSD68,test009.png,10,original,19.246758236725,0,0.473629052546705,0,1
BSD68,test009.png,10,tv,17.6572526592,0,0.2721535406,0,1
BSD68,test009.png,20,adaptive,23.197077866107,0,0.641986871610594,0,1
BSD68,test009.png,20,bilateral,26.5236521511079,0,0.66935099767874,0,1
BSD68,test009.png,20,guided,26.2756450063513,0,0.66543825408974,0,1
BSD68,test009.png,20,l0,20.5757876977763,0,0.520954317793496,0,1
BSD68,test009.png,20,lgss,25.1472972712,0,0.7221443805,0,1
BSD68,test009.png,20,original,19.5427666135855,0,0.482890229795277,0,1
BSD68,test009.png,20,tv,17.2744939647,0,0.25615633,0,1
BSD68,test009.png,25,adaptive,23.7357188685547,0,0.626581742032142,0,1
BSD68,test009.png,25,bilateral,24.2655094654509,0,0.546941574811667,0,1
BSD68,test009.png,25,guided,24.3527893614531,0,0.552815791957322,0,1
BSD68,test009.png,25,l0,20.7580250031775,0,0.531322923707457,0,1
BSD68,test009.png,25,lgss,24.0480591031,0,0.6895339641,0,1
BSD68,test009.png,25,original,19.547384983274,0,0.487133185381432,0,1
BSD68,test009.png,25,tv,16.7153844109,0,0.2359127544,0,1
BSD68,test009.png,50,adaptive,15.5106344457681,0,0.201035335532371,0,1
BSD68,test009.png,50,bilateral,16.8580870400966,0,0.229101890943103,0,1
BSD68,test009.png,50,guided,17.4024437853729,0,0.240606032200217,0,1
BSD68,test009.png,50,l0,18.0441573667935,0,0.316596657912688,0,1
BSD68,test009.png,50,lgss,16.7966077028,0,0.359340099,0,1
BSD68,test009.png,50,original,18.8691072223019,0,0.442616283905938,0,1
BSD68,test009.png,50,tv,13.6401148334,0,0.143589716,0,1
BSD68,test010.png,10,adaptive,21.0297757683299,0,0.580886234391387,0,1
BSD68,test010.png,10,bilateral,31.1831013906471,0,0.851352066967731,0,1
BSD68,test010.png,10,guided,29.9011775570822,0,0.829273525308763,0,1
BSD68,test010.png,10,l0,19.8189024421373,0,0.552212473502555,0,1
BSD68,test010.png,10,lgss,24.7657169823,0,0.6886148582,0,1
BSD68,test010.png,10,original,19.1872474597846,0,0.514845521497473,0,1
BSD68,test010.png,10,tv,17.1685180948,0,0.2049494661,0,1
