dataset,image,sigma,realization,method,psnr,ssim,runtime
BSD68,test011.png,10,1,bilateral,29.7962946357521,0.884542760326574,0.8105956
BSD68,test011.png,10,1,guided,28.224184174816,0.850132809738274,0.0168154
BSD68,test011.png,10,1,l0,21.1642855781567,0.54475097227574,3.6534275
BSD68,test011.png,10,1,lgss,25.1999699178,0.7366181706,4.6913732
BSD68,test011.png,10,1,original,19.2568723290093,0.472937124978408,7.4861982
BSD68,test011.png,10,1,tv,17.9209554733,0.391444148,1.0652529
BSD68,test012.png,10,1,adaptive,21.4718725393841,0.46842853293848,7.5341445
BSD68,test012.png,10,1,bilateral,29.5831307054216,0.821668206419811,0.8247404
BSD68,test012.png,10,1,guided,28.1841541074196,0.790689381072871,0.0181451
BSD68,test012.png,10,1,l0,20.5301848032705,0.416432180190581,4.4471892
BSD68,test012.png,10,1,lgss,25.5077509713,0.654785691,5.7172116
BSD68,test012.png,10,1,original,19.161126956275,0.352911856627041,7.4017526
BSD68,test012.png,10,1,tv,17.1993058892,0.2821042307,1.1100097
BSD68,test013.png,10,1,adaptive,19.5731361841329,0.478341375478224,7.7097759
BSD68,test013.png,10,1,bilateral,30.6360196142068,0.841193021313892,0.7024994
BSD68,test013.png,10,1,guided,29.4476324919037,0.815131867371362,0.0167657
BSD68,test013.png,10,1,l0,20.4397920071258,0.486623473069529,4.3317631
BSD68,test013.png,10,1,lgss,23.5597605198,0.6082519264,4.1744326
BSD68,test013.png,10,1,original,17.3292139191362,0.434005706499596,6.7849582
BSD68,test013.png,10,1,tv,17.1077049252,0.2119326707,1.061438
BSD68,test014.png,10,1,adaptive,21.9099023047104,0.68280065328781,6.8742246
BSD68,test014.png,10,1,bilateral,32.181532317756,0.874796553700567,0.7190011
BSD68,test014.png,10,1,guided,30.79440939956,0.857357236538975,0.016875
BSD68,test014.png,10,1,l0,21.7884899126566,0.665839834378151,3.0884825
BSD68,test014.png,10,1,lgss,27.1759034038,0.8006322862,4.1882107
BSD68,test014.png,10,1,original,19.9031461949888,0.62933677820382,6.3911883
BSD68,test014.png,10,1,tv,17.270597799,0.1964343707,1.1219884
BSD68,test015.png,10,1,adaptive,22.0844860061556,0.584575488224912,7.0407899
BSD68,test015.png,10,1,bilateral,29.3630545812966,0.836727837181932,0.6821074
BSD68,test015.png,10,1,guided,28.4142606815926,0.821704476264526,0.0118165
BSD68,test015.png,10,1,l0,20.1936251810731,0.480838819888132,3.6263767
BSD68,test015.png,10,1,lgss,24.2568966287,0.6789128489,4.1472938
BSD68,test015.png,10,1,original,18.5951845008941,0.418856775438287,6.1411478
BSD68,test015.png,10,1,tv,17.6321071425,0.3317387021,1.0490666
BSD68,test016.png,10,1,adaptive,22.8913604660569,0.671087169894783,11.3908426
BSD68,test016.png,10,1,bilateral,29.4732689952449,0.883413746716083,0.8047549
BSD68,test016.png,10,1,guided,27.7842362581795,0.85526313223834,0.0139011
BSD68,test016.png,10,1,l0,20.8788346303184,0.585308838906086,3.5334424
BSD68,test016.png,10,1,lgss,25.0984573016,0.7428341954,4.1509706
BSD68,test016.png,10,1,original,18.4768212920637,0.45626911466397,6.1867949
BSD68,test016.png,10,1,tv,17.5852380723,0.4279147548,1.0772626
BSD68,test017.png,10,1,adaptive,21.8308201987453,0.64418749693475,6.6664496
BSD68,test017.png,10,1,bilateral,34.1678025781505,0.880922823066787,0.7885175
BSD68,test017.png,10,1,guided,32.8726545591974,0.863687236119613,0.0176635
BSD68,test017.png,10,1,l0,21.3736339591707,0.660863570407644,3.2564537
BSD68,test017.png,10,1,lgss,26.6080331988,0.7478594731,4.4027167
BSD68,test017.png,10,1,original,19.389480453579,0.596533472373754,6.9122352
BSD68,test017.png,10,1,tv,17.6842525742,0.1222643518,1.0651556
BSD68,test018.png,10,1,adaptive,22.5818486664882,0.74273388604473,7.4644915
BSD68,test018.png,10,1,bilateral,34.0028181111433,0.894939682479827,0.821929
BSD68,test018.png,10,1,guided,32.7816285634752,0.882317469322524,0.0172894
BSD68,test018.png,10,1,l0,23.1228419518282,0.73820462996812,3.3296046
BSD68,test018.png,10,1,lgss,26.1841567062,0.8096444226,4.3052738
BSD68,test018.png,10,1,original,19.4162619345293,0.681862091942265,7.5494074
BSD68,test018.png,10,1,tv,17.2015272542,0.1271187539,1.0885509
BSD68,test019.png,10,1,adaptive,23.1862128278214,0.661929409559281,7.5796851
BSD68,test019.png,10,1,bilateral,30.389630552775,0.857883062605152,0.8363423
BSD68,test019.png,10,1,guided,29.5166012241969,0.840079727321834,0.0186932
BSD68,test019.png,10,1,l0,21.8511117673206,0.594338943267459,5.5487282
BSD68,test019.png,10,1,lgss,25.7572630038,0.7221189703,4.2205704
BSD68,test019.png,10,1,original,19.7681961561392,0.529026534888161,6.7314118
BSD68,test019.png,10,1,tv,17.8061053179,0.2975549179,1.4366432
BSD68,test020.png,10,1,adaptive,24.0324892554989,0.753728319914164,6.9024809
BSD68,test020.png,10,1,bilateral,31.6625918834246,0.884301731139851,0.7192695
BSD68,test020.png,10,1,guided,30.5974307318403,0.871841129170586,0.0115784
