Metric,Dataset,Sigma,Comparison,Mean_Diff,CI_Lower,CI_Upper,Std_Diff,N
PSNR,Kodak24,10,Adaptive vs tv,5.42950790141044,4.9011356214894,5.95788018133148,1.25128728265029,24
SSIM,Kodak24,10,Adaptive vs bilateral,-0.205056851331101,-0.233889710211887,-0.176223992450314,0.0682817608171458,24
SSIM,Kodak24,10,Adaptive vs guided,-0.186407863611612,-0.213211976397585,-0.159603750825639,0.0634772994844172,24
SSIM,Kodak24,10,Adaptive vs l0,0.038681067641442,0.0211674267543913,0.0561947085284926,0.0414756733985847,24
SSIM,Kodak24,10,Adaptive vs lgss,-0.0848170557387166,-0.100023908505228,-0.0696102029722048,0.0360127550194633,24
SSIM,Kodak24,10,Adaptive vs original,0.0955706031736563,0.0685768696896251,0.122564336657688,0.0639263578037577,24
SSIM,Kodak24,10,Adaptive vs tv,0.41412906365295,0.346309956860475,0.481948170445425,0.160608701620016,24
PSNR,Kodak24,20,Adaptive vs bilateral,-2.04183944165592,-2.40781330029747,-1.67586558301437,0.866696555635092,24
PSNR,Kodak24,20,Adaptive vs guided,-1.7865959077762,-2.19982476681638,-1.37336704873602,0.978605494251769,24
PSNR,Kodak24,20,Adaptive vs l0,2.74096906407418,2.48648692944858,2.99545119869979,0.602662688448199,24
PSNR,Kodak24,20,Adaptive vs lgss,-1.29522481106053,-1.69814062367408,-0.892308998446974,0.954182214815258,24
PSNR,Kodak24,20,Adaptive vs original,4.73116449527999,4.35166094174266,5.11066804881733,0.898737477925273,24
PSNR,Kodak24,20,Adaptive vs tv,8.14668336686448,7.68071566898226,8.61265106474669,1.10350121806727,24
SSIM,Kodak24,20,Adaptive vs bilateral,0.0567579933773999,0.0206092188706574,0.0929067678841424,0.0856072575011685,24
SSIM,Kodak24,20,Adaptive vs guided,0.0624955320972978,0.0284861915502128,0.0965048726443828,0.080540665994533,24
SSIM,Kodak24,20,Adaptive vs l0,0.071570743189887,0.0434700150216544,0.0996714713581197,0.0665479343378442,24
SSIM,Kodak24,20,Adaptive vs lgss,-0.0580444620022727,-0.0707828152526247,-0.0453061087519208,0.0301668729223539,24
SSIM,Kodak24,20,Adaptive vs original,0.129211337341433,0.0919192541378712,0.166503420544995,0.0883148326084158,24
SSIM,Kodak24,20,Adaptive vs tv,0.476541275185227,0.426142443279871,0.526940107090583,0.119354136884368,24
PSNR,Kodak24,25,Adaptive vs bilateral,-0.8770543476685,-0.957442038483192,-0.796666656853807,0.190373528325673,24
PSNR,Kodak24,25,Adaptive vs guided,-0.926532380146254,-1.03860442154073,-0.81446033875178,0.265408170463673,24
PSNR,Kodak24,25,Adaptive vs l0,1.11767051924846,0.71119807764348,1.52414296085344,0.96260499699971,24
PSNR,Kodak24,25,Adaptive vs lgss,-1.22040257971325,-1.50748646048983,-0.93331869893668,0.679869899918487,24
PSNR,Kodak24,25,Adaptive vs original,2.96748762291835,2.50371758689196,3.43125765894475,1.09829673169232,24
PSNR,Kodak24,25,Adaptive vs tv,7.33374758246175,6.98525071116423,7.68224445375926,0.825307684883023,24
SSIM,Kodak24,25,Adaptive vs bilateral,0.040765655423527,0.0245009681538578,0.0570303426931961,0.0385179107803733,24
SSIM,Kodak24,25,Adaptive vs guided,0.0389004339154228,0.025424759868693,0.0523761079621526,0.0319129905193616,24
SSIM,Kodak24,25,Adaptive vs l0,-0.0892301378697456,-0.148260003464434,-0.0302002722750572,0.139794086332893,24
SSIM,Kodak24,25,Adaptive vs lgss,-0.162684737993957,-0.201133875401722,-0.124235600586191,0.0910549597234754,24
SSIM,Kodak24,25,Adaptive vs original,-0.0376785319933095,-0.103636597634696,0.0282795336480775,0.156201397881082,24
SSIM,Kodak24,25,Adaptive vs tv,0.33984903022271,0.311598403488581,0.36809965695684,0.0669029230008041,24
PSNR,Kodak24,50,Adaptive vs bilateral,-1.42678449907041,-1.48262343437748,-1.37094556376334,0.132237349084462,24
PSNR,Kodak24,50,Adaptive vs guided,-1.82920151384346,-1.89576574108833,-1.7626372865986,0.157636905258151,24
PSNR,Kodak24,50,Adaptive vs l0,-2.38206846378784,-2.51866862434557,-2.2454683032301,0.323495478868471,24
PSNR,Kodak24,50,Adaptive vs lgss,-0.946362830568925,-1.05385507930357,-0.838870581834281,0.25456233972994,24
PSNR,Kodak24,50,Adaptive vs original,-2.49380549410072,-2.65021543932193,-2.3373955488795,0.370408862790039,24
PSNR,Kodak24,50,Adaptive vs tv,1.88453076596857,1.8305560745133,1.93850545742385,0.127822460733661,24
SSIM,Kodak24,50,Adaptive vs bilateral,-0.0216833517155566,-0.0252734734212302,-0.0180932300098829,0.00850209937990596,24
SSIM,Kodak24,50,Adaptive vs guided,-0.0289568504174742,-0.0310817193902518,-0.0268319814446965,0.00503209881360959,24
SSIM,Kodak24,50,Adaptive vs l0,-0.071142134839185,-0.0880142309555262,-0.0542700387228438,0.0399563718694442,24
SSIM,Kodak24,50,Adaptive vs lgss,-0.0614845593068509,-0.0937548947728286,-0.0292142238408731,0.0764223671640589,24
SSIM,Kodak24,50,Adaptive vs original,-0.123138751559255,-0.155864516839259,-0.0904129862792504,0.0775009126443711,24
